,Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,Media URLs,URLs,Hashtags,Mentions
0,1266611922150895616,"RT @ugc_india : #UGC requests HEIs &amp; State Governments to take proactive measures to redress grievances of students &amp; stakeholders related to examinations &amp; academic calendar in view of #COVID-19.  #IndiaFightsCorona 
@DrRPNishank @SanjayDhotreMP @HRDMinistry @PIB_India @DDNewslive @AkashvaniAIR https://t.co/Ech7Ri26l8",RBVRR Women's College,Rbvrrwc,2020-05-30T06:06:29.000Z,Sat May 30 06:06:29 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,Photo,https://pbs.twimg.com/media/EZHO8YnVAAIWxPC.jpg https://pbs.twimg.com/media/EZHO8Y4U0AYzbCR.jpg ,0,3,6
1,1266611904107040770,"RT @sofyvaldivia : Ⓜ️Vecinos del Gimnasio Municipal, ubicado en la calle Esteban Baca Calderón número 300 del Infonavit 1º de Mayo, se inconfirmaron hoy y exigen a @MunicipioOaxaca no recibir a pacientes diagnosticados con #COVID-19 como se ha especulado.
@oswaldogarciaj https://t.co/IWWxmOgEpA",Frankk_35,construred_oax,2020-05-30T06:06:25.000Z,Sat May 30 06:06:25 +0000 2020,0,0,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Video,https://video.twimg.com/ext_tw_video/1266591172077613056/pu/pl/XkkiBj7ig829YwSd.m3u8?tag=10 ,0,1,2
2,1266611713388040197,RT @Pinchez81533825 : @GhettoRadio895 @DjDaboTrabo @edgar_ogutu Anyway its a good proof that corona #covid-19virus don't exist in Kenya we just have covid-19 as new registered business name,Dj Double Trouble,DjDaboTrabo,2020-05-30T06:05:39.000Z,Sat May 30 06:05:39 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,1,3
3,1266611711055933440,"RT @unwomenasia : “Promoting gender equality is not only the right thing to do, but also the smart thing to do.” Lin Jialei - UN Women China. See how the #WeEmpower Programme from UN Women and @EUinASEAN are working to help female workers amid the #COVID-19 crisis https://t.co/k15Ly4LEJV",Marsella Lee,sellalalee,2020-05-30T06:05:39.000Z,Sat May 30 06:05:39 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,1,2,1
4,1266611707650224128,RT @philmoi : Mon ami Pharmacien confirme le Remdesivir du laboratoire américain Gilead l’un des traitements éventuels contre le #Covid-19 coûte 850 euros l’injection par jour .Il en faut environ huit.Le traitement à prendre DÉBUT D’INFECTION du Dr @raoult_didier 13 euros. Réaction #Médecins https://t.co/mun5ejpcqG,micmousse,micmousse18,2020-05-30T06:05:38.000Z,Sat May 30 06:05:38 +0000 2020,0,0,fr,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,,1,2,1
5,1266611659667320837,"DRY SKIN RELIEF FROM COVID-19 HANDWASHING

Has frequent handwashing left you with dry, cracked skin? With these tips from dermatologists you can continue to wash your hands as needed to fend off COVID-19  and heal dry skin.

Learn More:  https://t.co/fcmun2EydU

 #meso #covid",mesoskinline®,mesoskinline,2020-05-30T06:05:26.000Z,Sat May 30 06:05:26 +0000 2020,1,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,,1,2,0
6,1266611649391312896,"Jasmine 🥰 
#lydz_andhealth #healthiswealth #totallifechanges #iasotea #detoxlife #Covid_19 #COVID #TLC https://t.co/CEQetbBkRG",BABES WE DETOX,itsLydiaHoney,2020-05-30T06:05:24.000Z,Sat May 30 06:05:24 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,Photo,https://pbs.twimg.com/media/EZPokfvWoAABvAB.jpg ,0,8,0
7,1266611631842304000,https://t.co/xfZtYTToze. Fald i extremt for tidligt født børn under lock down/covid-19. Er der mogen bud på en årsags sammen hæng? Er der læring vi kan tage med ind i post covid tiden? #COVID19dk #COVID #sundpol @Heunicke @stephanie_lose,Klaus Birkelund Johansen,BirkelundKlaus,2020-05-30T06:05:20.000Z,Sat May 30 06:05:20 +0000 2020,0,0,da,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,,1,3,2
8,1266611579417657345,"RT @McMasterU : A review of a century of evidence shows that cloth masks are, indeed, effective at blocking droplet and aerosol contamination of the environment -- which could help reduce the transmission of #COVID-19. | @MacHealthSci @CMClase @STJOESHAMILTON  https://t.co/4CFiDJXCTf",Pamela,PamelaEnameller,2020-05-30T06:05:07.000Z,Sat May 30 06:05:07 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,,1,1,3
9,1266611568361508864,"RT @momotchiii : ""Une étude basée sur du vent.""
L'enquête sur l'étude du #Lancet sur l'#hydroxychloroquine, dont la base de données Surgisphere montre une entreprise de 4 employés engagés depuis 2 mois, au chiffre d'affaire de 8millions$ avec des données réfutées par les hôpitaux #Covid-19 #Covid https://t.co/4on2jz6whm",Tom le Chauve,TomCailleretz,2020-05-30T06:05:05.000Z,Sat May 30 06:05:05 +0000 2020,0,0,fr,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,1,4,0
