,url,text,media_url,comments,likes
0,/story.php?story_fbid=2946046748766270&id=100000829215912&refid=17&_ft_=mf_story_key.2946046748766270%3Atop_level_post_id.2946046748766270%3Atl_objid.2946046748766270%3Acontent_owner_id_new.100000829215912%3Athrowback_story_fbid.2946046748766270%3Astory_location.4%3Astory_attachment_style.share%3Athid.100000829215912%3A306061129499414%3A2%3A0%3A1593586799%3A8238274113285722268&__tn__=%2AW-R#footer_action_list,[],/Yohannescoop?fref=nf&refid=52&_ft_=mf_story_key.2946046748766270%3Atop_level_post_id.2946046748766270%3Atl_objid.2946046748766270%3Acontent_owner_id_new.100000829215912%3Athrowback_story_fbid.2946046748766270%3Astory_location.4%3Astory_attachment_style.share%3Athid.100000829215912&__tn__=-R,[],[]
1,/story.php?story_fbid=2943539265683685&id=100000829215912&refid=17&_ft_=mf_story_key.2943539265683685%3Atop_level_post_id.2943539265683685%3Atl_objid.2943539265683685%3Acontent_owner_id_new.100000829215912%3Athrowback_story_fbid.2943539265683685%3Astory_location.4%3Astory_attachment_style.share%3Athid.100000829215912%3A306061129499414%3A2%3A0%3A1593586799%3A8660312067716398306&__tn__=%2AW-R#footer_action_list,[],,[],[]
2,/photo.php?fbid=2923349841035961&id=100000829215912&set=a.144114555626184&refid=17&_ft_=mf_story_key.2923349941035951%3Atop_level_post_id.2923349841035961%3Atl_objid.2923349841035961%3Acontent_owner_id_new.100000829215912%3Athrowback_story_fbid.2923349941035951%3Aphoto_id.2923349841035961%3Astory_location.4%3Astory_attachment_style.profile_media%3Athid.100000829215912%3A306061129499414%3A30%3A0%3A1593586799%3A-5108363176585319803&__tn__=%2AW-R#footer_action_list,[],,[],[]
3,/photo.php?fbid=2923344097703202&id=100000829215912&set=a.446828132021490&refid=17&_ft_=mf_story_key.2923345227703089%3Atop_level_post_id.2923344097703202%3Atl_objid.2923344097703202%3Acontent_owner_id_new.100000829215912%3Athrowback_story_fbid.2923345227703089%3Aphoto_id.2923344097703202%3Astory_location.4%3Astory_attachment_style.cover_photo%3Athid.100000829215912%3A306061129499414%3A62%3A0%3A1593586799%3A-4767257897643828473&__tn__=%2AW-R#footer_action_list,[],,[],[]
4,/story.php?story_fbid=2923180484386230&id=100000829215912&refid=17&_ft_=mf_story_key.2923180484386230%3Atop_level_post_id.2923180484386230%3Atl_objid.2923180484386230%3Acontent_owner_id_new.100000829215912%3Athrowback_story_fbid.2923180484386230%3Astory_location.4%3Astory_attachment_style.share%3Athid.100000829215912%3A306061129499414%3A2%3A0%3A1593586799%3A-2724655901915656480&__tn__=%2AW-R#footer_action_list,[],/Yohannescoop?fref=nf&refid=52&_ft_=mf_story_key.2923180484386230%3Atop_level_post_id.2923180484386230%3Atl_objid.2923180484386230%3Acontent_owner_id_new.100000829215912%3Athrowback_story_fbid.2923180484386230%3Astory_location.4%3Astory_attachment_style.share%3Athid.100000829215912&__tn__=-R,[],[]
5,/groups/219220304914488?view=permalink&id=1525704994266006&bacr=1591741401%3A1591741401%3A5%3A-7516375894462051517%3A0%3A6836477263786900816&refid=7&_ft_=qid.6836477263786900816%3Amf_story_key.-7516375894462051517%3Agroup_id.219220304914488%3Atop_level_post_id.1525704994266006%3Acontent_owner_id_new.772016506257570%3Aoriginal_content_id.2865509986908201%3Aoriginal_content_owner_id.772016506257570%3Apage_id.772016506257570%3Asrc.22%3Aphoto_id.2865508203575046%3Astory_location.5%3Astory_attachment_style.photo%3Aview_time.1591741401%3Afilter.h_nor%3Atds_flgs.3%3Apage_insights.%7B%22772016506257570%22%3A%7B%22page_id%22%3A772016506257570%2C%22page_id_type%22%3A%22page%22%2C%22actor_id%22%3A772016506257570%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A2865509986908201%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1591682256%2C%22story_name%22%3A%22EntGroupMallPostCreationStory%22%2C%22story_fbid%22%3A%5B1525704994266006%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A5%2C%22targets%22%3A%5B%7B%22actor_id%22%3A772016506257570%2C%22page_id%22%3A772016506257570%2C%22post_id%22%3A2865509986908201%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%2C%7B%22actor_id%22%3A772016506257570%2C%22page_id%22%3A772016506257570%2C%22post_id%22%3A1525704994266006%2C%22role%22%3A1%2C%22share_id%22%3A2865509986908201%7D%5D%7D%7D&__tn__=%2AW-R#footer_action_list,[],,[],[]
6,/groups/458445768243254?view=permalink&id=720364382051390&bacr=1591741401%3A1591741401%3A6%3A8945117083704340012%3A0%3A6836477263786900816&refid=7&_ft_=qid.6836477263786900816%3Amf_story_key.-3055716370279376886%3Agroup_id.458445768243254%3Atop_level_post_id.720364382051390%3Acontent_owner_id_new.100039162877845%3Aoriginal_content_id.2611138609144719%3Aoriginal_content_owner_id.1410119762579949%3Apage_id.1410119762579949%3Asrc.22%3Aphoto_id.2611138502478063%3Astory_location.5%3Aattached_story_attachment_style.photo%3Aview_time.1591741401%3Afilter.h_nor%3Atds_flgs.3%3Apage_insights.%7B%221410119762579949%22%3A%7B%22page_id%22%3A1410119762579949%2C%22page_id_type%22%3A%22page%22%2C%22actor_id%22%3A100039162877845%2C%22attached_story%22%3A%7B%22page_id%22%3A1410119762579949%2C%22page_id_type%22%3A%22page%22%2C%22actor_id%22%3A1410119762579949%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A266%2C%22publish_time%22%3A1591552873%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22story_fbid%22%3A%5B2611138609144719%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A5%7D%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22role%22%3A1%2C%22sl%22%3A5%2C%22targets%22%3A%5B%7B%22actor_id%22%3A100039162877845%2C%22page_id%22%3A1410119762579949%2C%22post_id%22%3A2611138609144719%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%7D&__tn__=%2AW-R#footer_action_list,"[""'ስለ እኛ በ እኛዉ ህብራዊ አንድነታችን ችግራችንን መፍታት የጊዜዉ እዉነታ ነዉ።'""]",/bekalu.tadsse?fref=nf&refid=18&__tn__=-R,[],[]
7,/groups/865883580130715?view=permalink&id=3235451703173879&bacr=1591741401%3A1591741401%3A8%3A-3901989991734237383%3A0%3A6836477263786900816&refid=7&_ft_=qid.6836477263786900816%3Amf_story_key.-9091230650337816678%3Agroup_id.865883580130715%3Atop_level_post_id.3235451703173879%3Acontent_owner_id_new.100026187257899%3Aoriginal_content_id.1383149445214558%3Aoriginal_content_owner_id.100046005767584%3Asrc.22%3Astory_location.5%3Aview_time.1591741401%3Afilter.h_nor&__tn__=%2AW-R#footer_action_list,[],,[],[]
8,/groups/219416964805021?view=permalink&id=2986543208092369&bacr=1591741401%3A1591741401%3A10%3A-9208627424243322498%3A0%3A6836477263786900816&refid=7&_ft_=qid.6836477263786900816%3Amf_story_key.2505681504531174247%3Agroup_id.219416964805021%3Atop_level_post_id.2986543208092369%3Acontent_owner_id_new.100006014688340%3Aoriginal_content_id.145555867069552%3Aoriginal_content_owner_id.100403818251424%3Apage_id.100403818251424%3Asrc.22%3Aphoto_id.145555840402888%3Astory_location.5%3Aattached_story_attachment_style.photo%3Aview_time.1591741401%3Afilter.h_nor%3Atds_flgs.3%3Apage_insights.%7B%22100403818251424%22%3A%7B%22page_id%22%3A100403818251424%2C%22page_id_type%22%3A%22page%22%2C%22actor_id%22%3A100006014688340%2C%22attached_story%22%3A%7B%22page_id%22%3A100403818251424%2C%22page_id_type%22%3A%22page%22%2C%22actor_id%22%3A100403818251424%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A266%2C%22publish_time%22%3A1591687863%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22story_fbid%22%3A%5B145555867069552%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A5%7D%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22role%22%3A1%2C%22sl%22%3A5%2C%22targets%22%3A%5B%7B%22actor_id%22%3A100006014688340%2C%22page_id%22%3A100403818251424%2C%22post_id%22%3A145555867069552%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%7D&__tn__=%2AW-R#footer_action_list,[],,[],[]
9,/groups/865883580130715?view=permalink&id=3235523266500056&bacr=1591741430%3A1591741430%3A1%3A-8527057861814396575%3A0%3A6836477392519420723&refid=7&_ft_=qid.6836477392519420723%3Amf_story_key.-8527057861814396575%3Agroup_id.865883580130715%3Atop_level_post_id.3235523266500056%3Acontent_owner_id_new.100010483865992%3Aoriginal_content_id.2960846440902211%3Aoriginal_content_owner_id.502283906%3Asrc.22%3Aphoto_id.10157395599643907%3Astory_location.5%3Aattached_story_attachment_style.photo%3Aview_time.1591741430%3Afilter.h_nor&__tn__=%2AW-R#footer_action_list,[],,[],[]
